gene,basX,basY,Er2X,Er2Y,LymX,LymY,My2X,My2Y,StemX,StemY
LILRB4,0.19,1.07,0.00,0.05,0.01,0.18,0.34,0.92,0.00,0.10
RAB32,3.70,2.79,0.76,1.19,0.11,0.66,7.17,4.30,1.05,1.17
TOP2A,5.37,12.27,6.56,15.26,4.03,11.19,4.15,11.12,1.24,7.11
MXD3,0.54,1.39,0.52,1.36,0.99,1.82,0.51,1.10,0.20,0.70
AC245128.3,-0.00,0.00,0.01,0.07,-0.00,0.00,0.17,0.95,-0.00,0.00
NECAB1,0.03,0.16,1.69,1.85,0.02,0.15,0.05,0.53,0.02,0.14
ARSG,0.32,0.85,0.03,0.17,0.02,0.12,0.07,0.27,0.03,0.18
GNA15,3.42,2.36,1.97,1.82,0.25,0.64,2.94,2.39,2.07,1.73
LKAAEAR1,0.34,0.67,0.07,0.36,0.13,0.46,0.92,1.30,0.54,0.88
CLEC9A,0.15,0.48,0.02,0.14,0.01,0.17,0.05,0.23,0.58,0.87
VCAM1,-0.00,0.00,0.02,0.18,0.01,0.09,0.04,0.46,0.04,1.24
MKI67,4.17,7.67,3.56,7.00,4.70,9.67,2.98,6.50,0.76,3.63
JCHAIN,0.46,2.58,0.01,0.09,1.82,36.43,0.00,0.05,0.04,0.67
DUSP26,0.01,0.08,0.01,0.16,0.31,0.68,0.00,0.05,-0.00,0.00
SLC24A3,0.28,0.58,0.01,0.09,0.00,0.03,0.02,0.13,0.01,0.09
CFD,0.29,0.68,0.79,1.16,0.03,0.21,9.42,10.70,0.17,0.46
SMIM1,0.28,0.75,3.50,3.13,0.01,0.17,0.08,0.71,0.20,0.46
TFR2,0.99,1.28,3.83,3.20,0.01,0.10,0.15,0.47,0.08,0.28
REST,3.19,2.40,3.85,2.55,1.49,1.66,3.26,2.59,1.86,1.61
ESCO2,0.65,1.36,0.78,1.48,0.56,1.31,0.40,0.92,0.09,0.47
PAG1,0.49,1.02,0.21,0.67,2.64,3.47,0.75,1.22,0.08,0.33
SLC45A3,2.51,2.53,0.04,0.23,0.01,0.11,0.42,0.94,0.10,0.33
HSH2D,3.92,2.75,2.16,1.99,0.32,0.82,3.28,2.46,1.45,1.50
DEPTOR,1.14,1.36,0.66,0.89,0.03,0.18,0.50,0.79,0.37,0.63
ELF1,4.23,2.69,4.49,2.93,1.70,1.85,4.57,2.94,2.94,2.06
IL5RA,0.23,0.66,-0.00,0.00,0.00,0.07,0.01,0.20,-0.00,0.00
TNFSF13B,1.51,1.68,0.95,1.48,0.27,1.02,6.04,4.29,1.09,1.40
GATA1,1.06,1.69,4.25,3.06,0.01,0.16,0.06,0.50,0.01,0.10
PCAT18,0.02,0.18,0.83,1.13,0.00,0.06,0.01,0.11,0.00,0.05
KDR,-0.00,0.00,-0.00,0.00,0.00,0.03,0.04,0.43,0.04,0.79
CDCA8,0.51,1.16,0.77,1.59,0.42,1.31,0.43,1.12,0.12,0.61
PBX1,1.39,1.84,0.86,1.02,0.05,0.35,0.19,0.63,0.96,1.14
ALDH2,0.99,1.15,1.00,1.21,0.15,0.62,1.02,1.37,1.19,1.20
DTD1,2.32,2.07,2.53,1.89,0.17,0.58,1.97,1.63,1.13,1.10
CMTM8,0.12,0.36,0.12,0.44,3.07,3.51,0.16,0.43,0.29,0.59
ID3,0.01,0.08,0.02,0.21,0.69,1.42,0.02,0.12,0.06,0.64
CTSG,2.25,2.67,0.13,0.82,0.13,0.73,17.66,24.71,0.70,1.08
CLEC4E,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.13,0.88,0.00,0.03
HCST,2.26,2.26,0.81,1.21,0.50,1.68,5.36,4.65,1.37,1.56
MCM10,0.88,1.47,1.14,1.84,0.32,0.82,0.99,1.59,0.19,0.73
SKAP1,0.12,0.40,0.51,0.90,0.01,0.15,0.02,0.14,0.82,0.99
TMED9,3.70,2.83,3.46,2.50,0.88,1.20,4.94,3.37,1.60,1.40
CD9,0.18,0.46,0.14,0.52,4.16,4.16,0.17,0.55,0.29,0.67
BLVRB,0.84,1.33,26.12,20.67,0.17,0.80,2.05,3.79,0.94,1.02
TP53INP1,0.81,1.27,1.29,1.74,2.60,2.72,0.24,0.77,0.24,0.59
ILF2,7.20,4.40,9.17,5.35,1.98,2.66,6.93,4.34,2.78,2.27
PDZD8,6.17,5.11,8.50,4.65,0.31,0.74,2.30,2.73,1.02,1.17
TRBC2,0.94,1.43,0.07,0.30,0.28,1.02,0.44,0.94,0.36,0.85
CLEC4D,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.06,0.40,-0.00,0.00
FCER1G,0.45,0.84,0.29,0.71,0.05,0.48,1.17,3.32,0.15,0.53
HBD,0.37,1.40,43.79,47.40,0.05,0.68,0.56,6.26,0.07,0.27
PCLAF,10.57,11.46,12.14,11.19,2.89,5.05,6.38,7.66,1.45,3.82
GATA2,7.04,7.95,2.48,2.51,0.02,0.12,0.47,0.98,0.74,1.13
RNASE6,0.49,2.64,0.42,0.73,0.05,0.29,0.45,1.05,0.01,0.12
LINC01013,0.01,0.08,0.01,0.12,0.96,1.26,0.01,0.11,0.00,0.03
SERPINA1,-0.00,0.00,-0.00,0.00,0.00,0.03,0.33,1.95,0.01,0.14
CD300E,-0.00,0.00,-0.00,0.00,0.00,0.03,0.23,1.61,0.00,0.14
RNASE2,5.39,10.15,0.03,0.21,0.03,0.37,9.47,10.36,0.02,0.15
KCNH2,0.90,1.51,3.04,4.15,0.00,0.06,0.06,0.44,-0.00,0.00
KCNE5,0.01,0.08,0.02,0.12,0.02,0.32,1.54,2.85,0.01,0.09
HES6,0.17,0.47,1.51,2.42,0.01,0.10,0.08,0.37,0.02,0.17
PALMD,-0.00,0.00,0.00,0.05,-0.00,0.00,0.01,0.16,0.01,0.28
AL157895.1,0.84,1.64,1.16,1.85,0.01,0.08,0.06,0.70,0.17,0.61
MIR181A1HG,2.88,2.92,1.43,1.61,0.71,1.37,2.44,2.28,0.74,1.42
BCL2,1.53,1.42,0.38,0.77,0.33,0.99,2.29,2.35,0.36,0.67
CR1,0.09,0.33,0.90,1.17,0.02,0.18,0.04,0.26,0.02,0.15
LMO4,17.39,23.22,2.45,3.55,0.94,1.34,1.77,1.87,1.02,1.16
CST7,0.20,0.48,0.33,0.75,0.01,0.18,4.18,4.93,0.05,0.24
CSTA,0.05,0.22,-0.00,0.00,0.00,0.03,2.05,2.60,0.00,0.03
LYST,0.25,0.56,0.41,0.70,0.12,0.39,2.92,2.45,0.19,0.47
RNASE3,0.42,1.19,0.01,0.07,0.01,0.15,1.90,2.62,-0.00,0.00
ASF1B,0.75,1.29,0.80,1.39,0.48,1.12,0.74,1.34,0.17,0.69
CLEC12A,0.72,0.91,0.01,0.11,0.02,0.27,1.52,1.49,0.01,0.13
CDC45,0.75,1.29,1.01,1.73,0.38,0.88,0.74,1.35,0.17,0.64
RAG2,0.01,0.08,0.01,0.10,0.47,0.85,0.00,0.05,-0.00,0.00
BIN1,0.81,1.29,0.16,0.48,0.45,0.82,0.67,0.99,1.53,1.30
CTGF,-0.00,0.00,0.00,0.05,0.46,1.40,0.01,0.08,0.00,0.07
SERPINB8,0.16,0.60,0.09,0.30,0.10,0.33,1.66,1.98,0.11,0.37
MS4A2,9.25,18.44,0.32,2.69,0.00,0.05,0.03,0.26,0.01,0.08
FAM83F,0.40,1.21,0.03,0.19,-0.00,0.00,0.00,0.09,-0.00,0.00
DLGAP5,0.79,2.46,1.28,3.17,0.56,1.87,0.66,1.83,0.19,1.14
SKA3,0.56,1.06,0.86,1.47,0.32,0.81,0.88,1.48,0.13,0.55
HMHB1,-0.00,0.00,-0.00,0.00,0.67,1.01,0.03,0.19,0.00,0.03
LIMCH1,0.04,0.19,0.00,0.05,0.01,0.13,0.03,0.21,0.37,0.69
GAS2L3,0.03,0.16,0.07,0.42,0.04,0.30,0.08,0.34,0.03,0.20
PKMYT1,0.64,1.19,0.55,1.06,0.39,0.89,0.55,1.07,0.10,0.46
AC111000.4,0.34,0.82,0.02,0.13,-0.00,0.00,0.03,0.21,0.00,0.03
C5AR1,-0.00,0.00,0.00,0.05,0.00,0.03,0.52,2.73,0.02,0.45
LSP1,2.28,2.93,0.83,1.22,0.53,1.72,3.39,3.08,1.43,1.48
GCHFR,0.32,0.78,1.11,1.31,0.14,0.52,0.19,0.49,0.86,0.98
MPEG1,0.13,0.76,0.01,0.09,0.02,0.27,0.55,1.54,0.00,0.14
EMCN,0.01,0.08,0.01,0.11,0.02,0.12,0.01,0.14,0.35,0.70
HBB,0.23,0.53,214.35,493.80,0.14,0.65,3.11,35.55,0.11,0.34
FCER1A,4.96,9.78,2.32,3.54,0.02,0.21,0.16,1.28,0.09,0.47
KLF1,1.04,1.85,8.11,5.54,0.02,0.32,0.17,0.79,0.02,0.14
PTGER4,0.43,1.01,0.08,0.40,0.17,0.61,1.07,1.54,1.77,2.11
HPGDS,2.88,2.93,0.64,0.98,0.03,0.24,0.52,0.90,0.31,0.79
SELL,4.68,4.37,0.41,1.66,0.88,2.58,7.07,4.55,5.24,3.40
RAG1,0.01,0.08,0.03,0.17,0.86,1.34,0.01,0.09,0.01,0.10
MS4A3,8.25,13.69,0.25,1.43,0.00,0.06,2.63,4.45,0.00,0.07
AKAP12,0.63,2.13,0.09,1.17,6.37,5.96,0.17,1.72,0.05,0.68
BEX2,1.96,1.99,1.00,1.68,0.21,0.66,1.37,1.80,2.88,1.98
UNG,1.73,2.30,2.95,3.29,0.33,0.96,2.19,2.61,0.70,1.42
GINS2,1.75,2.26,2.40,2.93,0.76,1.77,2.14,2.63,0.59,1.58
CD24,0.09,0.31,0.17,1.29,5.61,8.25,0.16,0.48,0.06,0.25
HIST1H2BM,0.11,0.33,0.13,0.51,0.28,0.84,0.05,0.25,0.03,0.22
SMIM24,3.90,3.45,0.40,1.37,0.57,1.85,7.45,4.69,3.30,2.97
TAF10,1.96,1.59,2.81,2.03,1.02,1.21,2.42,1.73,1.26,1.16
KBTBD11,0.46,0.80,0.06,0.29,0.05,0.23,1.86,1.64,0.05,0.24
MIR4435-2HG,1.82,1.94,7.43,4.19,0.06,0.34,0.68,1.19,0.83,0.96
SPARC,0.73,1.05,0.20,0.57,0.09,0.42,2.00,1.91,0.37,0.88
IKZF2,2.35,2.75,0.17,0.48,0.18,0.57,0.36,1.00,0.15,0.41
DIAPH3,0.73,1.31,0.60,1.16,0.31,0.79,0.53,1.06,0.10,0.44
BIRC5,1.97,3.34,2.44,4.26,1.48,3.29,1.59,3.18,0.44,1.92
PIMREG,0.19,0.69,0.04,0.23,0.27,0.92,0.09,0.45,0.05,0.40
SMIM25,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.03,0.23,0.00,0.07
E2F2,0.15,0.51,0.13,0.44,0.69,1.40,0.12,0.39,0.02,0.17
BRD7,4.08,3.06,5.38,3.49,2.12,2.36,4.20,2.91,2.09,1.72
CENPA,0.27,0.83,0.49,1.49,0.30,1.16,0.28,1.00,0.08,0.57
LIN7A,0.30,0.71,0.01,0.07,-0.00,0.00,0.08,0.31,0.01,0.11
RAB44,0.40,0.58,0.04,0.20,0.01,0.13,0.71,0.99,0.04,0.23
CEP55,0.59,1.37,0.39,1.00,0.44,1.21,0.44,0.99,0.13,0.71
CDC20,0.47,1.32,1.43,3.79,0.69,2.35,0.79,2.29,0.16,1.04
UBE2C,2.28,6.34,2.35,6.63,1.08,3.54,1.57,5.41,0.52,3.16
AC002454.1,3.46,4.32,1.76,2.26,0.76,1.70,3.34,4.47,1.18,2.25
MZB1,1.96,2.86,0.16,0.93,4.00,4.06,1.90,2.53,1.47,2.34
NUDT8,0.51,0.95,0.58,0.95,0.13,0.50,1.04,1.46,0.44,0.82
ANK1,0.01,0.08,3.84,3.22,0.02,0.20,0.04,0.51,-0.00,0.00
GCSAML,0.39,0.72,0.30,0.61,0.03,0.23,0.15,0.47,0.84,0.99
CPA3,5.53,5.53,0.26,0.67,0.05,0.48,4.35,3.99,0.07,0.36
HEMGN,0.75,1.34,0.13,0.47,0.11,0.56,0.08,0.38,2.06,1.88
PRAM1,0.46,0.93,0.07,0.50,0.10,0.54,2.88,2.32,0.55,0.80
